,Probability Threshold,Risk,Reward,Win Rate (%),Profit Factor,Cumulative Returns,Sortino Ratio,Average Profit per Winning Trade (%),Average Loss per Losing Trade (%),Average Return (%),Trade Frequency (Trades per Day),Downside Deviation,Volatility (Standard Deviation of Algo Returns),Gross Profit (%),Gross Loss (%),Total Number of Winning Trades,Total Number of Trades,Risk-Free Rate (%),Risk:Reward Ratio
0,0.5,10,1,90.21121039805037,0.7639628883624078,0.4185537368313333,-0.021570362010981926,0.12109157911241866,-1.4607409242480118,-0.03375067649678676,129.57894736842104,0.9428449441234975,0.005636140372672274,268.9443972086819,-352.03856274377085,2221,2462,2.0,0.1
1,0.51,10,1,90.15151515151516,0.7578241978850142,0.4337305172135206,-0.02088514037548544,0.12326484730187447,-1.488930350241868,-0.03551195245622139,118.10526315789474,0.9746221073263479,0.005785209357237427,249.36478609169205,-329.0536074034529,2023,2244,2.0,0.1
2,0.52,10,1,90.09272816007808,0.73806995334978,0.4274013992286455,-0.020364975254681596,0.12409810503215635,-1.528985204914631,-0.03967735222465081,107.84210526315789,1.0015614194059776,0.005939335501189584,229.08510188936063,-310.3839965976701,1846,2049,2.0,0.1
3,0.53,10,1,90.09105516871986,0.7309355177154562,0.44128510258886977,-0.019757588681723965,0.12635140395374753,-1.5716479460824846,-0.041902414876837865,98.26315789473684,1.033477540083434,0.006110245841568265,212.52306145020333,-290.75487002525966,1682,1867,2.0,0.1
4,0.54,10,1,89.90554899645808,0.7095058313575987,0.43341110295710567,-0.019285340492197926,0.12850217020001328,-1.6130888378150128,-0.04730188078615527,89.15789473684211,1.0615845136954734,0.006322999340395343,195.7088052146202,-275.83819126636723,1523,1694,2.0,0.1
5,0.55,10,1,89.95403808273144,0.7105137299033573,0.4676955082568252,-0.018701231712520753,0.13032144632216297,-1.6423758594297844,-0.047763049922123275,80.15789473684211,1.0949883309296229,0.006446175707409938,178.54038146136327,-251.283506492757,1370,1523,2.0,0.1
6,0.56,10,1,89.35083880379285,0.6423513670884095,0.4038672272332027,-0.018616796297159035,0.12829052066311228,-1.675734256430936,-0.06382298586914967,72.15789473684211,1.1085811720376904,0.006690767399384398,157.15588781231253,-244.6572014389167,1225,1371,2.0,0.1
7,0.57,10,1,88.74281018898932,0.6025886881252909,0.38240252524320006,-0.01840058501714725,0.13064544509823314,-1.7091354664966303,-0.07646218422674327,64.05263157894737,1.12847617741051,0.0069864724575421705,141.0970807060918,-234.15155891003837,1080,1217,2.0,0.1
8,0.58,10,1,88.54748603351955,0.5892278759830994,0.4077350719446132,-0.018419966087065295,0.13112703389357735,-1.7206175891280355,-0.0809442776815236,56.526315789473685,1.1297221003804052,0.007068633244699463,124.70180923279206,-211.63596346274835,951,1074,2.0,0.1
9,0.59,10,1,88.88888888888889,0.6014074524956612,0.47259351073399153,-0.018042170245433017,0.13277817475870604,-1.7662325161780594,-0.07822301312315683,48.78947368421053,1.151869750064693,0.007131090866415004,109.40921600117379,-181.92194916634014,824,927,2.0,0.1
10,0.6,10,1,90.09661835748793,0.6694108636360777,0.5984316275181925,-0.017149679939889084,0.13372538676293866,-1.817381411252713,-0.05950016569754853,43.578947368421055,1.200897143804579,0.006980219204096064,99.75913852515224,-149.02527572272245,746,828,2.0,0.1
11,0.61,10,1,90.82058414464534,0.7055138921571208,0.6796877089053306,-0.01756689752030372,0.13523859405693237,-1.8965501150229276,-0.05126774085165008,37.8421052631579,1.1676892510363919,0.0068845989489302005,88.31080191917682,-125.17230759151323,653,719,2.0,0.1
12,0.62,10,1,90.81967213114754,0.6767856087953058,0.6847414549059957,-0.01672723391626103,0.13691674487262645,-2.001369089246666,-0.059384905472751194,32.10526315789474,1.2311568761352487,0.007242218570435848,75.85187665943505,-112.0766689978133,554,610,2.0,0.1
13,0.63,10,1,91.06796116504854,0.6583514984806917,0.7060145036236007,-0.015536790510444941,0.13676653393092097,-2.118053976043684,-0.0646349096784612,27.105263157894736,1.3288683452933643,0.007579815038303345,64.14350441360193,-97.43048289800946,469,515,2.0,0.1
14,0.64,10,1,91.86602870813397,0.788928970829552,0.8607729682710037,-0.018016338342898074,0.13689736428816265,-1.9597897846456707,-0.03364656648635971,22.0,1.1287790714077093,0.006594710704333345,52.56858788665446,-66.6328526779528,384,418,2.0,0.1
15,0.65,10,1,92.04545454545455,0.8398713740290075,0.9121151271496376,-0.02096668199873461,0.1378794916351404,-1.8996512302439852,-0.024196815787062773,18.526315789473685,0.965434977222065,0.006175412346677527,44.67295528978549,-53.19023444683159,324,352,2.0,0.1
16,0.66,10,1,91.83673469387756,0.7896231704232957,0.9017591754943772,-0.021699182460350935,0.1355557968440119,-1.9313044140759204,-0.033167485680064196,15.473684210526315,0.9369788421269316,0.006281838518479658,36.60006514788321,-46.35130593782209,270,294,2.0,0.1
17,0.67,10,1,92.11618257261411,0.7553547405523545,0.9026691623861473,-0.022680311934226878,0.1351525091247216,-2.0906076112242395,-0.040322355135155,12.68421052631579,0.8996006585147988,0.006528097394472384,30.0038570256882,-39.72154461326055,222,241,2.0,0.1
18,0.68,10,1,92.5531914893617,0.7964663044804469,0.9391036160940281,-0.026514732263597608,0.13309487694322927,-2.0768978870297707,-0.03147905228880264,9.894736842105264,0.7661699285109677,0.006188876452054117,23.158508588121897,-29.076570418416786,174,188,2.0,0.1
19,0.69,10,1,92.4812030075188,0.6965357873451788,0.9312554432788945,-0.03178745419629743,0.1275083661650597,-2.2516472697087897,-0.05137551623147033,7.0,0.6453412417249862,0.006545246311065932,15.683529038302343,-22.5164726970879,123,133,2.0,0.1
20,0.7,10,1,94.1747572815534,1.0247325988936633,1.0015935328054115,-0.03744707204908655,0.1302065494476317,-2.054200173791045,0.0029595558609126775,5.421052631578948,0.5332968199813638,0.005305276930160116,12.630035296420274,-12.32520104274627,97,103,2.0,0.1
21,0.71,10,1,93.67088607594937,1.0415178585005647,1.0029295796899185,-0.04267884197470466,0.13504828633071964,-1.9190401982853444,0.005042686038563688,4.157894736842105,0.4674347338533291,0.005175485754143603,9.993573188473254,-9.595200991426722,74,79,2.0,0.1
22,0.72,10,1,92.98245614035088,1.0291797302625256,1.0013510395299623,-0.0776325314097009,0.13478369992203892,-1.7352498999484451,0.003553271860952315,3.0,0.2571662538740265,0.004883804276385247,7.143536095868062,-6.940999599793781,53,57,2.0,0.1
23,0.73,10,1,94.28571428571428,1.4302906061534384,1.0140467090010385,-0.14724070178984144,0.1437038459225728,-1.6577844023594763,0.0407616603064557,1.8421052631578947,0.1330636376950981,0.004281604937597976,4.742226915444902,-3.3155688047189527,33,35,2.0,0.1
24,0.74,10,1,90.47619047619048,0.8876900569449444,0.9959800898290924,-0.15163661565970527,0.1549051295297815,-1.6577844023594763,-0.017731968745385934,1.105263157894737,0.1330636376950981,0.005485386674136081,2.9431974610658482,-3.3155688047189527,19,21,2.0,0.1
25,0.75,10,1,80.0,0.4233636190429879,0.9897880523548803,,0.18541999299863104,-1.75187460290303,-0.20203892618170116,0.3125,,0.00867438448868077,0.7416799719945242,-1.75187460290303,4,5,2.0,0.1
26,0.76,10,1,100.0,inf,1.0040243030951783,,0.20102730668564778,,0.20102730668564778,0.125,,0.000753971270062824,0.40205461337129555,0.0,2,2,2.0,0.1
27,0.77,10,1,100.0,inf,1.0025434112647378,,0.2543411264737734,,0.2543411264737734,1.0,,,0.2543411264737734,0.0,1,1,2.0,0.1
